QoISNf,QoIVEFf,dsigt,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
3.9783,3.9783,-0.1,0.96679,0.97822,0.79006,0.78651,0.0041699
3.9783,3.9783,-0.09,0.84995,0.85948,0.71105,0.70786,0.0037046
3.9783,3.9783,-0.08,0.73838,0.74625,0.63205,0.62921,0.0032509
3.9783,3.9783,-0.07,0.63175,0.63815,0.55304,0.55056,0.002809
3.9783,3.9783,-0.06,0.52974,0.53484,0.47404,0.47191,0.0023788
3.9783,3.9783,-0.05,0.43205,0.43602,0.39503,0.39326,0.0019586
3.9783,3.9783,-0.04,0.33844,0.34139,0.31602,0.3146,0.0015484
3.9783,3.9783,-0.03,0.24864,0.25071,0.23702,0.23595,0.0011476
3.9783,3.9783,-0.02,0.16244,0.16373,0.15801,0.1573,0.00075617
3.9783,3.9783,-0.01,0.079623,0.080226,0.079006,0.078651,0.00037371
3.9783,3.9783,0,0,0,0,0,0
3.9783,3.9783,0.01,-0.076608,-0.077137,-0.079006,-0.078651,0.00036522
3.9783,3.9783,0.02,-0.15037,-0.15136,-0.15801,-0.1573,0.0007222
3.9783,3.9783,0.03,-0.22143,-0.22283,-0.23702,-0.23595,0.0010712
3.9783,3.9783,0.04,-0.28994,-0.29169,-0.31602,-0.3146,0.0014126
3.9783,3.9783,0.05,-0.35603,-0.35809,-0.39503,-0.39326,0.0017471
3.9783,3.9783,0.06,-0.41983,-0.42215,-0.47404,-0.47191,0.0020746
3.9783,3.9783,0.07,-0.48145,-0.484,-0.55304,-0.55056,0.0023951
3.9783,3.9783,0.08,-0.541,-0.54374,-0.63205,-0.62921,0.002709
3.9783,3.9783,0.09,-0.59858,-0.60149,-0.71105,-0.70786,0.0030163
3.9783,3.9783,0.1,-0.65428,-0.65733,-0.79006,-0.78651,0.0033173
