prob_id,QoISNf,QoIVEFf,QoISNa,QoIVEFa,dsigt,dsigs,dq,dinc,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
21,7.5164,7.5164,7.5164,7.5164,-0.1,0,0,0,1.5754,1.649,1.4139,1.3585,0.0080342
21,7.5164,7.5164,7.5164,7.5164,-0.09,0,0,0,1.3902,1.4531,1.2725,1.2226,0.0071544
21,7.5164,7.5164,7.5164,7.5164,-0.08,0,0,0,1.212,1.2652,1.1311,1.0868,0.0062927
21,7.5164,7.5164,7.5164,7.5164,-0.07,0,0,0,1.0406,1.0848,0.98973,0.95094,0.0054487
21,7.5164,7.5164,7.5164,7.5164,-0.06,0,0,0,0.87547,0.91154,0.84834,0.81509,0.0046219
21,7.5164,7.5164,7.5164,7.5164,-0.05,0,0,0,0.71632,0.74494,0.70695,0.67924,0.0038119
21,7.5164,7.5164,7.5164,7.5164,-0.04,0,0,0,0.56283,0.58465,0.56556,0.54339,0.0030184
21,7.5164,7.5164,7.5164,7.5164,-0.03,0,0,0,0.41472,0.43033,0.42417,0.40755,0.0022407
21,7.5164,7.5164,7.5164,7.5164,-0.02,0,0,0,0.27172,0.28164,0.28278,0.2717,0.0014787
21,7.5164,7.5164,7.5164,7.5164,-0.01,0,0,0,0.13355,0.13829,0.14139,0.13585,0.00073197
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0,0,0,0,0,0
21,7.5164,7.5164,7.5164,7.5164,0.01,0,0,0,-0.12917,-0.13349,-0.14139,-0.13585,0.00071768
21,7.5164,7.5164,7.5164,7.5164,0.02,0,0,0,-0.25416,-0.26242,-0.28278,-0.2717,0.0014214
21,7.5164,7.5164,7.5164,7.5164,0.03,0,0,0,-0.37517,-0.38703,-0.42417,-0.40754,0.0021115
21,7.5164,7.5164,7.5164,7.5164,0.04,0,0,0,-0.49238,-0.50751,-0.56556,-0.54339,0.0027884
21,7.5164,7.5164,7.5164,7.5164,0.05,0,0,0,-0.60597,-0.62408,-0.70695,-0.67924,0.0034522
21,7.5164,7.5164,7.5164,7.5164,0.06,0,0,0,-0.71609,-0.73692,-0.84834,-0.81509,0.0041034
21,7.5164,7.5164,7.5164,7.5164,0.07,0,0,0,-0.82291,-0.84619,-0.98973,-0.95094,0.0047422
21,7.5164,7.5164,7.5164,7.5164,0.08,0,0,0,-0.92656,-0.95207,-1.1311,-1.0868,0.0053689
21,7.5164,7.5164,7.5164,7.5164,0.09,0,0,0,-1.0272,-1.0547,-1.2725,-1.2226,0.0059839
21,7.5164,7.5164,7.5164,7.5164,0.1,0,0,0,-1.1249,-1.1543,-1.4139,-1.3585,0.0065873
21,7.5164,7.5164,7.5164,7.5164,0,-0.1,0,0,-0.6271,-0.62408,-0.68296,-0.67924,0.0013594
21,7.5164,7.5164,7.5164,7.5164,0,-0.09,0,0,-0.56905,-0.56628,-0.61466,-0.61132,0.0012291
21,7.5164,7.5164,7.5164,7.5164,0,-0.08,0,0,-0.51003,-0.50751,-0.54637,-0.54339,0.0010975
21,7.5164,7.5164,7.5164,7.5164,0,-0.07,0,0,-0.45002,-0.44777,-0.47807,-0.47547,0.00096478
21,7.5164,7.5164,7.5164,7.5164,0,-0.06,0,0,-0.38899,-0.38703,-0.40978,-0.40754,0.00083079
21,7.5164,7.5164,7.5164,7.5164,0,-0.05,0,0,-0.32693,-0.32525,-0.34148,-0.33962,0.00069555
21,7.5164,7.5164,7.5164,7.5164,0,-0.04,0,0,-0.26379,-0.26242,-0.27318,-0.2717,0.00055904
21,7.5164,7.5164,7.5164,7.5164,0,-0.03,0,0,-0.19956,-0.19851,-0.20489,-0.20377,0.00042126
