QoISNf,QoIVEFf,dsigs,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
1.9999,1.9999,-0.1,-0.1814,-0.18159,-0.19943,-0.19967,0.0020062
1.9999,1.9999,-0.09,-0.16475,-0.16493,-0.17949,-0.1797,0.0018115
1.9999,1.9999,-0.08,-0.14779,-0.14795,-0.15954,-0.15973,0.0016156
1.9999,1.9999,-0.07,-0.13052,-0.13066,-0.1396,-0.13977,0.0014184
1.9999,1.9999,-0.06,-0.11292,-0.11305,-0.11966,-0.1198,0.00122
1.9999,1.9999,-0.05,-0.094993,-0.095101,-0.099714,-0.099834,0.0010201
1.9999,1.9999,-0.04,-0.076721,-0.076809,-0.079771,-0.079867,0.00081895
1.9999,1.9999,-0.03,-0.058096,-0.058164,-0.059829,-0.0599,0.00061637
1.9999,1.9999,-0.02,-0.039108,-0.039154,-0.039886,-0.039933,0.00041238
1.9999,1.9999,-0.01,-0.019747,-0.01977,-0.019943,-0.019967,0.00020693
1.9999,1.9999,0,0,0,0,0,0
1.9999,1.9999,0.01,0.020143,0.020167,0.019943,0.019967,0.00020844
1.9999,1.9999,0.02,0.040695,0.040744,0.039886,0.039933,0.00041843
1.9999,1.9999,0.03,0.061667,0.061743,0.059829,0.0599,0.00063
1.9999,1.9999,0.04,0.083073,0.083177,0.079771,0.079867,0.00084319
1.9999,1.9999,0.05,0.10493,0.10506,0.099714,0.099834,0.001058
1.9999,1.9999,0.06,0.12724,0.12741,0.11966,0.1198,0.0012746
1.9999,1.9999,0.07,0.15003,0.15023,0.1396,0.13977,0.0014928
1.9999,1.9999,0.08,0.17332,0.17354,0.15954,0.15973,0.0017128
1.9999,1.9999,0.09,0.19711,0.19737,0.17949,0.1797,0.0019347
1.9999,1.9999,0.1,0.22143,0.22172,0.19943,0.19967,0.0021584
