QoISNf,QoIVEFf,dinc,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
1.7882,1.7882,0,0,0,0,0,0
1.7882,1.7882,0.01,0.0042358,0.0045961,0.0042358,0.0045961,0.00033603
1.7882,1.7882,0.02,0.0084716,0.0091922,0.0084716,0.0091922,0.0006684
1.7882,1.7882,0.03,0.012707,0.013788,0.012707,0.013788,0.00099721
1.7882,1.7882,0.04,0.016943,0.018384,0.016943,0.018384,0.0013225
1.7882,1.7882,0.05,0.021179,0.022981,0.021179,0.022981,0.0016445
1.7882,1.7882,0.06,0.025415,0.027577,0.025415,0.027577,0.0019631
1.7882,1.7882,0.07,0.029651,0.032173,0.029651,0.032173,0.0022785
1.7882,1.7882,0.08,0.033886,0.036769,0.033886,0.036769,0.0025907
1.7882,1.7882,0.09,0.038122,0.041365,0.038122,0.041365,0.0028999
1.7882,1.7882,0.1,0.042358,0.045961,0.042358,0.045961,0.003206
