QoISNf,QoIVEFf,dq,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
1.7882,1.7882,-0.1,-0.17882,-0.17879,-0.17882,-0.17879,2.864E-11
1.7882,1.7882,-0.09,-0.16094,-0.16091,-0.16094,-0.16091,2.864E-11
1.7882,1.7882,-0.08,-0.14306,-0.14303,-0.14306,-0.14303,2.864E-11
1.7882,1.7882,-0.07,-0.12517,-0.12515,-0.12517,-0.12515,2.864E-11
1.7882,1.7882,-0.06,-0.10729,-0.10727,-0.10729,-0.10727,2.864E-11
1.7882,1.7882,-0.05,-0.089411,-0.089394,-0.089411,-0.089394,2.864E-11
1.7882,1.7882,-0.04,-0.071528,-0.071515,-0.071528,-0.071515,2.864E-11
1.7882,1.7882,-0.03,-0.053646,-0.053637,-0.053646,-0.053637,2.864E-11
1.7882,1.7882,-0.02,-0.035764,-0.035758,-0.035764,-0.035758,2.864E-11
1.7882,1.7882,-0.01,-0.017882,-0.017879,-0.017882,-0.017879,1.1815E-16
1.7882,1.7882,0,0,0,0,0,0
1.7882,1.7882,0.01,0.017882,0.017879,0.017882,0.017879,1.0043E-16
1.7882,1.7882,0.02,0.035764,0.035758,0.035764,0.035758,1.1562E-16
1.7882,1.7882,0.03,0.053646,0.053637,0.053646,0.053637,1.114E-16
1.7882,1.7882,0.04,0.071528,0.071515,0.071528,0.071515,1.1562E-16
1.7882,1.7882,0.05,0.089411,0.089394,0.089411,0.089394,1.0549E-16
1.7882,1.7882,0.06,0.10729,0.10727,0.10729,0.10727,1.1393E-16
1.7882,1.7882,0.07,0.12517,0.12515,0.12517,0.12515,1.2237E-16
1.7882,1.7882,0.08,0.14306,0.14303,0.14306,0.14303,1.2406E-16
1.7882,1.7882,0.09,0.16094,0.16091,0.16094,0.16091,1.4094E-16
1.7882,1.7882,0.1,0.17882,0.17879,0.17882,0.17879,1.3166E-16
